ID,name,handedness,height,weight,avg,HR
484,Joe Hague,Left,72,195,0.239,40
485,Bake McBride,Left,74,190,0.299,63
486,Dick Davis,Right,75,190,0.265,27
487,Richie Scheinblum,Both,73,180,0.263,13
488,Ed Herrmann,Left,73,195,0.24,80
491,Bob Molinaro,Left,72,190,0.264,14
492,Mike Hegan,Left,73,188,0.242,53
493,Mike Diaz,Right,74,195,0.247,31
494,Tim Foli,Right,72,179,0.251,25
495,Alan Knicely,Right,72,190,0.213,12
496,Tim Laudner,Right,75,212,0.225,77
497,Jose Morales,Right,71,187,0.287,26
500,Juan Marichal,Right,72,185,0.165,4
501,Vida Blue,Both,72,189,0.104,4
504,Stan Papi,Right,72,170,0.218,7
505,Rob Wilfong,Left,73,180,0.248,39
507,Steve Henderson,Right,74,190,0.28,68
508,Rob Picciolo,Right,74,185,0.234,17
511,Roberto Pena,Right,68,170,0.245,13
512,Bob Dernier,Right,72,160,0.255,23
513,Bill Melton,Right,74,200,0.253,160
514,Albert Hall,Both,71,155,0.251,5
515,Barbaro Garbey,Right,70,170,0.267,11
516,John Milner,Left,72,185,0.249,131
517,Rich Reese,Left,75,185,0.253,52
518,Chris Bando,Both,72,195,0.227,27
519,Bill Buckner,Left,72,185,0.289,174
520,Jack Hiatt,Right,74,190,0.251,22
521,Nelson Mathews,Right,76,195,0.223,22
523,Ron Theobald,Right,68,165,0.248,2
525,Rafael Santana,Right,73,165,0.246,13
526,Jerry Hairston,Both,70,170,0.258,30
530,Tommie Aaron,Right,75,190,0.229,13
531,Steve Dillard,Right,73,180,0.243,13
534,George Scott,Right,74,200,0.268,271
536,Ken Walters,Right,73,180,0.231,11
537,Gorman Thomas,Right,74,210,0.225,268
538,Paul Dade,Right,73,185,0.27,10
539,Darrell Porter,Left,72,193,0.247,188
541,Fred Stanley,Right,70,165,0.216,10
542,Larry Bowa,Both,70,155,0.26,15
543,Tim Corcoran,Left,71,175,0.27,12
544,Jim Spencer,Left,74,195,0.25,146
545,Pete LaCock,Left,74,200,0.257,27
546,Carl Morton,Right,72,200,0.156,7
547,Gary Gray,Right,72,187,0.24,24
548,Matty Alou,Left,69,160,0.307,31
550,Jim Dwyer,Left,70,165,0.26,77
551,Dalton Jones,Left,73,180,0.235,41
552,Rennie Stennett,Right,71,160,0.274,41
554,Jerry May,Right,74,190,0.234,15
555,Rich McKinney,Right,71,185,0.225,20
556,Clint Hurdle,Left,75,195,0.259,32
557,Mike Andrews,Right,75,195,0.258,66
558,Bobby Clark,Right,72,190,0.239,19
560,Cliff Johnson,Right,76,215,0.258,196
562,Donn Clendenon,Right,76,209,0.274,159
563,Charlie James,Right,73,195,0.255,29
564,Bob Horner,Right,73,195,0.277,218
565,Tom Veryzer,Right,73,175,0.241,14
567,George Smith,Right,70,170,0.205,9
568,Jim Essian,Right,74,195,0.244,33
569,Onix Concepcion,Right,66,160,0.239,3
570,Boots Day,Left,69,160,0.256,8
571,Brian Giles,Right,73,165,0.228,10
572,Garry Maddox,Right,75,175,0.285,117
573,Alex Trevino,Right,70,165,0.249,23
574,Jim Price,Right,72,192,0.214,18
575,Felix Millan,Right,71,172,0.279,22
576,Steve Garvey,Right,70,192,0.294,272
577,Don Mincher,Left,75,205,0.249,200
580,Tony Cloninger,Right,72,210,0.192,11
581,Jim Gosger,Left,71,185,0.226,30
582,Chuck Harrison,Right,70,185,0.238,17
583,Mike Ivie,Right,75,205,0.269,81
586,Marvell Wynne,Left,71,175,0.247,40
587,Dusty Baker,Right,74,183,0.278,242
588,Tucker Ashford,Right,73,195,0.218,6
589,Ned Yost,Right,73,190,0.212,16
590,Bob Stinson,Both,71,180,0.25,33
592,Gaylord Perry,Right,76,205,0.131,6
593,Dave Marshall,Left,73,182,0.246,16
594,Mickey Hatcher,Right,74,200,0.28,38
595,Roger Repoz,Left,75,190,0.224,82
597,John Orsino,Right,75,215,0.249,40
599,Johnny Briggs,Left,73,190,0.253,139
601,Dave Hostetler,Right,76,215,0.229,37
602,Bob Jones,Left,74,195,0.221,20
603,Keith Hernandez,Left,72,180,0.296,162
606,Willie Upshaw,Left,72,185,0.262,123
607,Dick Green,Right,70,180,0.24,80
608,Dane Iorg,Left,72,180,0.276,14
609,Richie Hebner,Left,73,195,0.276,203
610,Fran Healy,Right,77,220,0.25,20
611,Doc Edwards,Right,74,215,0.238,15
612,Sandy Alomar,Both,69,140,0.245,13
613,Joe Strain,Right,70,169,0.25,1
614,Gene Richards,Left,72,175,0.29,26
615,Buddy Bell,Right,73,180,0.279,201
616,Al Woods,Left,75,190,0.271,35
617,Rudy Law,Left,73,165,0.271,18
619,Jody Davis,Right,76,192,0.245,127
620,Mike Edwards,Right,70,154,0.25,2
623,Deron Johnson,Right,74,200,0.244,245
625,Don Wert,Right,70,162,0.242,77
626,Mike Fiore,Left,72,175,0.227,13
627,Miguel Dilone,Both,72,160,0.265,6
628,Greg Luzinski,Right,73,220,0.276,307
629,Bobby Tolan,Left,71,170,0.265,86
632,Ron Woods,Right,70,168,0.233,26
633,Tony Horton,Right,75,210,0.268,76
634,Randy Hundley,Right,71,170,0.236,82
635,Jose Tartabull,Left,71,165,0.261,2
636,Ben Oglivie,Left,74,160,0.273,235
638,Bob Johnson,Right,70,175,0.272,44
639,Don Buford,Both,67,160,0.264,93
640,Duane Kuiper,Left,72,175,0.271,1
641,Brant Alyea,Right,75,215,0.247,38
642,Jerry Narron,Left,75,205,0.211,21
643,Lou Johnson,Right,71,170,0.258,48
644,Ken Retzer,Left,72,185,0.264,14
645,Mike Brown,Right,74,195,0.265,23
647,Greg Walker,Left,75,205,0.26,113
648,Terry Harper,Right,76,195,0.253,36
